DATA CAPTURED Sat Oct 21 02:16:08 2017
653330,293,294,294,291,0,0
653534,294,295,295,292,0,0
653739,292,293,292,289,0,0
653942,290,290,290,288,0,0
654146,292,293,293,290,0,0
654351,294,295,295,292,0,0
654555,292,293,292,290,0,0
654759,290,290,290,287,0,0
654963,291,292,293,289,0,0
655168,294,295,295,292,0,0
655372,293,293,293,290,0,0
655577,290,290,290,287,0,0
655780,291,292,291,288,0,0
655985,293,295,295,291,0,0
656189,293,294,294,291,0,0
656394,290,291,290,288,0,0
656598,290,290,290,288,0,0
DATA CAPTURED Sat Oct 21 02:19:08 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
833481,291,291,291,288,0,0
833686,292,293,293,290,0,0
833890,295,296,296,293,0,0
834095,294,295,295,292,0,0
834298,291,292,291,289,0,0
834502,291,292,292,289,0,0
834707,294,296,296,292,0,0
834911,295,296,296,293,0,0
835116,292,293,292,290,0,0
835319,291,292,292,289,0,0
835524,294,295,295,292,0,0
835728,295,296,296,293,0,0
835933,293,294,293,290,0,0
836136,291,291,291,289,0,0
836341,293,294,294,291,0,0
836545,295,296,296,293,0,0
836750,294,294,294,291,0,0
836954,291,291,291,288,0,0
837158,292,293,293,290,0,0
837362,295,296,296,293,0,0
837566,294,295,295,292,0,0
837771,291,292,291,289,0,0
