DATA CAPTURED: Sat Oct 21 17:31:29 2017,,
790545,1.0303,70.16
790652,1.0352,70.16
790760,1.0352,70.16
790866,1.0303,70.16
790974,1.0303,70.16
801148,1.0937,78.4
801256,1.1035,78.4
801362,1.0986,78.4
801470,1.0986,78.4
801577,1.0986,78.4
801684,1.0986,78.4
801792,1.0937,78.4
801898,1.0937,78.4
802006,1.0937,78.4
802113,1.0986,78.4
802220,1.0937,78.4
802327,1.0986,78.4
802434,1.0986,78.4
802541,1.0937,78.4
802648,1.0937,78.4
802755,1.0937,78.4
802863,1.0937,78.4
802969,1.0889,78.4
803077,1.0986,78.4
803183,1.0986,78.4
