Time (ms),P1(psi),P2(psi),P3(psi),P4(psi),T1,T2

180.067,-49.33,0.07,-49.93,0.07,0,0
180.078,-47.50,0.08,-48.11,0.08,0,0
180.089,-46.28,0.10,-46.89,0.09,0,0
180.100,-49.33,0.07,-49.33,0.07,0,0
180.111,-46.89,0.09,-46.89,0.09,0,0
180.122,-46.89,0.09,-46.89,0.10,0,0
180.133,-49.33,0.07,-49.93,0.07,0,0
180.144,-45.67,0.10,-46.28,0.10,0,0
180.155,-46.89,0.09,-46.89,0.10,0,0
180.166,-49.33,0.07,-49.33,0.07,0,0
180.177,-46.28,0.09,-47.50,0.09,0,0
180.188,-46.89,0.09,-46.89,0.10,0,0
180.199,-49.33,0.07,-49.33,0.07,0,0
180.210,-45.67,0.10,-46.28,0.10,0,0
180.221,-46.89,0.09,-46.28,0.10,0,0
