Time (ms),T1(C),T2(C),P1(psi),P2(psi),P3(psi),P4(psi)
001581086,21.48,21.48,-46.28,0.08,-49.33,0.07
001581097,21.48,21.48,-46.89,0.08,-48.72,0.08
001581108,22.46,21.48,-43.84,0.12,-43.24,0.12
001581119,21.48,20.51,-46.89,0.08,-49.93,0.06
001581130,21.48,21.48,-46.28,0.09,-46.28,0.10
001581142,21.48,21.48,-43.84,0.12,-42.63,0.12
001581153,21.48,21.48,-46.28,0.08,-49.33,0.06
001581164,21.48,21.48,-46.89,0.09,-47.50,0.09
001581175,21.48,21.48,-43.84,0.13,-42.02,0.13
001581186,21.48,21.48,-46.89,0.08,-49.93,0.06
001581197,21.48,20.51,-45.67,0.10,-45.67,0.11
001581208,21.48,20.51,-43.84,0.13,-42.02,0.13
001581219,21.48,21.48,-46.89,0.08,-49.93,0.06
001581230,21.48,20.51,-45.67,0.10,-45.06,0.12
001581241,21.48,21.48,-43.84,0.12,-42.63,0.12
001581252,21.48,21.48,-46.89,0.08,-50.54,0.06
001581263,21.48,21.48,-45.67,0.10,-45.67,0.11
001581274,21.48,21.48,-43.84,0.12,-43.24,0.12
001581285,21.48,21.48,-47.50,0.07,-50.54,0.06
001581296,21.48,21.48,-45.67,0.11,-44.45,0.12
001581307,21.48,21.48,-43.84,0.12,-42.63,0.13
001581318,21.48,21.48,-47.50,0.08,-49.33,0.07
001581329,21.48,21.48,-45.06,0.11,-44.45,0.12
001581340,21.48,21.48,-43.84,0.12,-43.24,0.11
001581351,21.48,20.51,-47.50,0.07,-50.54,0.06
001581362,21.48,20.51,-45.06,0.12,-43.24,0.13
001581373,21.48,21.48,-44.45,0.12,-43.84,0.11
001581384,21.48,21.48,-47.50,0.08,-50.54,0.06
001581395,21.48,20.51,-45.67,0.11,-43.84,0.12
001581406,21.48,21.48,-45.06,0.11,-45.67,0.09
001581417,21.48,20.51,-47.50,0.08,-49.93,0.07
001581428,21.48,21.48,-45.06,0.11,-43.24,0.13
001581440,21.48,21.48,-44.45,0.11,-44.45,0.10
001581451,21.48,21.48,-47.50,0.07,-50.54,0.06
001581462,21.48,21.48,-45.06,0.11,-43.84,0.12
001581473,21.48,20.51,-43.84,0.12,-43.84,0.11
001581484,21.48,21.48,-47.50,0.07,-49.93,0.07
001581495,21.48,21.48,-44.45,0.12,-43.24,0.13
001581506,21.48,20.51,-45.06,0.11,-45.67,0.10
001581517,21.48,21.48,-47.50,0.07,-50.54,0.06
001581528,21.48,21.48,-43.84,0.12,-42.02,0.14
001581539,21.48,21.48,-45.67,0.10,-46.28,0.09
001581550,21.48,21.48,-47.50,0.08,-49.93,0.07
001581561,21.48,21.48,-44.45,0.12,-42.63,0.13
001581572,21.48,20.51,-45.67,0.10,-47.50,0.08
001581583,21.48,21.48,-47.50,0.07,-50.54,0.06
001581594,21.48,20.51,-43.84,0.12,-42.02,0.14
001581605,21.48,21.48,-45.67,0.10,-46.89,0.08
001581616,21.48,20.51,-46.89,0.08,-48.11,0.09
001581627,21.48,21.48,-43.84,0.13,-42.02,0.14
001581638,22.46,21.48,-45.67,0.10,-47.50,0.08
001581649,21.48,21.48,-47.50,0.08,-49.33,0.08
001581660,21.48,20.51,-43.84,0.13,-42.02,0.13
001581671,21.48,21.48,-45.67,0.09,-48.72,0.07
001581682,21.48,21.48,-46.89,0.08,-48.11,0.09
001581693,21.48,21.48,-43.84,0.13,-41.41,0.14
001581704,21.48,21.48,-46.28,0.09,-48.72,0.07
001581715,21.48,20.51,-46.89,0.08,-48.11,0.09
001581726,21.48,21.48,-43.84,0.13,-42.02,0.13
001581737,21.48,21.48,-46.28,0.09,-48.11,0.07
001581748,21.48,21.48,-45.67,0.10,-45.06,0.12
001581759,21.48,21.48,-43.84,0.12,-42.02,0.13
001581770,21.48,21.48,-46.89,0.08,-49.33,0.06
001581782,21.48,21.48,-46.89,0.09,-46.89,0.10
001581793,21.48,21.48,-43.84,0.13,-41.41,0.14
001581804,21.48,20.51,-46.28,0.08,-49.33,0.07
001581815,20.51,21.48,-46.89,0.09,-48.11,0.09
001581826,21.48,21.48,-43.84,0.13,-42.63,0.13
001581837,21.48,21.48,-46.89,0.08,-49.93,0.06
001581848,20.51,21.48,-46.89,0.09,-47.50,0.09
001581859,21.48,21.48,-43.84,0.13,-42.02,0.13
001581870,21.48,21.48,-46.89,0.08,-49.93,0.06
001581881,21.48,21.48,-45.67,0.10,-45.67,0.11
001581892,21.48,21.48,-43.84,0.12,-42.02,0.13
001581903,21.48,21.48,-46.89,0.08,-49.93,0.06
001581914,21.48,20.51,-45.67,0.10,-44.45,0.12
001581925,21.48,21.48,-43.84,0.12,-43.24,0.12
001581936,21.48,21.48,-47.50,0.07,-50.54,0.06
001581947,21.48,21.48,-45.67,0.10,-46.28,0.10
001581958,21.48,21.48,-43.84,0.12,-44.45,0.11
001581969,21.48,21.48,-47.50,0.07,-50.54,0.06
001581980,21.48,21.48,-45.67,0.11,-44.45,0.12
001581991,21.48,21.48,-43.84,0.12,-43.24,0.11
001582002,21.48,21.48,-47.50,0.07,-50.54,0.06
001582013,21.48,21.48,-45.06,0.11,-44.45,0.12
001582024,21.48,21.48,-44.45,0.12,-43.84,0.11
001582035,21.48,20.51,-47.50,0.07,-50.54,0.06
001582046,21.48,21.48,-44.45,0.12,-43.24,0.13
001582057,21.48,20.51,-44.45,0.11,-45.06,0.10
001582068,21.48,20.51,-47.50,0.07,-51.15,0.06
001582080,21.48,21.48,-45.06,0.11,-43.84,0.12
001582091,21.48,21.48,-44.45,0.12,-44.45,0.11
001582102,20.51,21.48,-47.50,0.07,-51.15,0.05
001582113,21.48,21.48,-45.67,0.11,-44.45,0.12
001582124,21.48,21.48,-44.45,0.11,-45.06,0.10
001582135,21.48,20.51,-47.50,0.07,-50.54,0.06
001582146,21.48,21.48,-45.06,0.12,-43.24,0.13
001582157,21.48,21.48,-44.45,0.12,-43.84,0.11
001582168,21.48,21.48,-47.50,0.08,-48.72,0.08
001582179,21.48,20.51,-44.45,0.12,-42.63,0.13
001582190,21.48,21.48,-45.06,0.11,-45.67,0.09
001582201,21.48,21.48,-47.50,0.07,-50.54,0.06
001582212,21.48,20.51,-43.84,0.12,-42.02,0.14
001582223,21.48,21.48,-45.67,0.10,-46.28,0.09
001582234,21.48,21.48,-47.50,0.07,-49.93,0.07
001582245,21.48,21.48,-44.45,0.12,-42.63,0.13
001582256,21.48,21.48,-45.67,0.10,-47.50,0.08
001582267,21.48,21.48,-47.50,0.08,-49.33,0.08
001582278,21.48,21.48,-44.45,0.12,-42.02,0.14
001582289,21.48,20.51,-45.67,0.10,-47.50,0.08
001582300,21.48,21.48,-46.89,0.08,-48.72,0.08
001582311,21.48,21.48,-43.84,0.13,-42.02,0.14
001582322,21.48,21.48,-45.67,0.09,-48.11,0.08
001582333,21.48,21.48,-47.50,0.08,-49.93,0.07
001582344,21.48,21.48,-43.84,0.13,-42.02,0.13
001582355,21.48,21.48,-46.28,0.09,-48.72,0.07
001582366,21.48,21.48,-46.89,0.08,-48.11,0.08
001582377,21.48,22.46,-44.45,0.13,-41.41,0.14
001582388,21.48,20.51,-46.89,0.08,-49.33,0.07
001582399,21.48,21.48,-46.89,0.09,-48.11,0.09
001582410,21.48,22.46,-43.84,0.13,-42.02,0.13
001582422,21.48,21.48,-46.28,0.08,-49.33,0.07
001582433,21.48,20.51,-47.50,0.08,-49.33,0.08
001582444,21.48,20.51,-43.84,0.13,-42.02,0.14
001582455,21.48,21.48,-46.28,0.09,-48.72,0.07
001582466,21.48,21.48,-46.89,0.09,-46.89,0.10
001582477,21.48,21.48,-43.84,0.13,-42.02,0.13
001582488,21.48,20.51,-46.28,0.09,-48.72,0.07
001582499,20.51,21.48,-46.89,0.08,-48.11,0.09
001582510,21.48,21.48,-43.84,0.12,-42.63,0.13
001582521,21.48,21.48,-46.89,0.08,-49.93,0.06
001582532,21.48,21.48,-46.89,0.09,-47.50,0.09
001582543,21.48,21.48,-43.84,0.13,-42.02,0.13
001582554,21.48,21.48,-47.50,0.08,-49.93,0.06
001582565,21.48,20.51,-46.28,0.10,-45.67,0.11
001582576,21.48,21.48,-43.84,0.12,-42.63,0.13
001582587,21.48,21.48,-46.89,0.08,-49.93,0.06
001582598,21.48,21.48,-45.67,0.11,-43.84,0.13
001582609,20.51,21.48,-43.84,0.12,-42.63,0.12
001582620,21.48,21.48,-46.89,0.08,-49.93,0.06
001582631,21.48,21.48,-45.67,0.10,-45.06,0.11
001582642,21.48,21.48,-44.45,0.12,-43.84,0.11
001582653,21.48,21.48,-47.50,0.07,-51.15,0.05
001582664,21.48,20.51,-45.06,0.11,-44.45,0.12
001582675,21.48,20.51,-43.84,0.12,-43.24,0.12
001582686,21.48,20.51,-47.50,0.08,-49.93,0.07
001582697,21.48,21.48,-45.06,0.11,-43.84,0.12
001582708,21.48,20.51,-44.45,0.12,-43.84,0.11
001582720,21.48,21.48,-47.50,0.07,-50.54,0.06
001582731,21.48,20.51,-45.67,0.11,-44.45,0.12
001582742,21.48,21.48,-43.84,0.12,-43.24,0.12
001582753,21.48,20.51,-47.50,0.07,-51.15,0.06
001582764,21.48,21.48,-45.06,0.11,-43.84,0.12
001582775,21.48,21.48,-44.45,0.12,-44.45,0.11
001582786,21.48,21.48,-47.50,0.07,-50.54,0.06
001582797,20.51,21.48,-45.67,0.11,-44.45,0.12
001582808,21.48,21.48,-45.06,0.10,-46.28,0.08
001582819,20.51,20.51,-47.50,0.07,-50.54,0.06
001582830,20.51,21.48,-44.45,0.12,-43.24,0.13
001582841,21.48,21.48,-45.06,0.11,-45.06,0.10
001582852,21.48,20.51,-47.50,0.08,-49.33,0.07
001582863,20.51,20.51,-44.45,0.12,-43.24,0.13
001582874,21.48,21.48,-45.06,0.11,-45.67,0.10
001582885,20.51,21.48,-47.50,0.07,-49.93,0.06
001582896,21.48,20.51,-43.84,0.12,-42.02,0.14
001582907,21.48,20.51,-45.67,0.09,-47.50,0.08
001582918,21.48,21.48,-47.50,0.07,-50.54,0.06
001582929,21.48,21.48,-44.45,0.12,-42.02,0.14
001582940,21.48,21.48,-46.28,0.09,-48.11,0.08
001582951,21.48,20.51,-47.50,0.08,-49.33,0.08
001582962,21.48,20.51,-43.84,0.12,-42.02,0.13
001582973,21.48,20.51,-45.67,0.10,-46.89,0.08
001582984,21.48,21.48,-47.50,0.08,-48.72,0.08
001582995,21.48,21.48,-44.45,0.12,-42.02,0.14
001583006,21.48,21.48,-46.28,0.09,-48.11,0.07
001583017,21.48,21.48,-47.50,0.08,-49.33,0.07
001583028,21.48,21.48,-43.84,0.13,-42.02,0.13
001583039,21.48,21.48,-46.28,0.09,-48.72,0.07
001583050,21.48,21.48,-46.89,0.08,-48.72,0.08
001583062,21.48,21.48,-43.84,0.13,-42.02,0.13
001583073,20.51,20.51,-45.67,0.09,-48.11,0.08
001583084,20.51,21.48,-47.50,0.08,-48.72,0.08
001583095,21.48,20.51,-43.84,0.13,-42.02,0.13
001583106,20.51,21.48,-46.28,0.08,-49.33,0.07
001583117,21.48,21.48,-46.89,0.09,-48.11,0.09
001583128,21.48,21.48,-43.84,0.12,-42.02,0.13
001583139,21.48,21.48,-46.28,0.09,-48.72,0.07
001583150,21.48,21.48,-46.89,0.09,-46.89,0.10
001583161,21.48,21.48,-43.84,0.13,-42.02,0.13
001583172,20.51,21.48,-46.28,0.09,-48.72,0.07
001583183,21.48,20.51,-46.89,0.08,-48.11,0.09
001583194,20.51,20.51,-43.84,0.13,-42.02,0.13
001583205,20.51,21.48,-46.89,0.08,-49.93,0.06
001583216,21.48,21.48,-46.28,0.10,-46.28,0.10
001583227,20.51,21.48,-43.84,0.13,-42.02,0.13
001583238,20.51,21.48,-47.50,0.08,-49.93,0.07
001583249,21.48,20.51,-46.28,0.10,-45.67,0.11
001583260,21.48,21.48,-43.84,0.12,-42.63,0.12
001583271,21.48,21.48,-47.50,0.08,-50.54,0.06
001583282,21.48,21.48,-45.67,0.11,-44.45,0.12
001583293,20.51,21.48,-43.84,0.12,-42.63,0.12
001583304,20.51,21.48,-47.50,0.08,-50.54,0.06
001583315,20.51,20.51,-45.67,0.10,-45.06,0.12
001583326,21.48,20.51,-44.45,0.12,-44.45,0.11
001583337,20.51,21.48,-47.50,0.07,-50.54,0.06
001583348,20.51,20.51,-45.67,0.10,-44.45,0.12
001583360,21.48,21.48,-44.45,0.12,-43.24,0.12
001583371,21.48,20.51,-47.50,0.07,-50.54,0.06
001583382,20.51,21.48,-45.67,0.10,-45.06,0.11
