Time (ms),T1(C),T2(C),P1(psi),P2(psi),P3(psi),P4(psi)
001584926,20.51,20.51,-45.67,0.10,-46.89,0.08
001584937,20.51,21.48,-47.50,0.07,-50.54,0.06
001584948,20.51,21.48,-43.84,0.13,-42.02,0.13
001584959,20.51,20.51,-45.67,0.10,-47.50,0.08
001584970,20.51,20.51,-47.50,0.08,-49.33,0.07
001584982,20.51,21.48,-44.45,0.12,-42.02,0.13
001584993,20.51,21.48,-45.67,0.10,-46.89,0.09
001585004,20.51,20.51,-47.50,0.07,-49.93,0.07
001585015,20.51,21.48,-44.45,0.12,-42.63,0.13
001585026,20.51,21.48,-46.28,0.09,-48.11,0.08
001585037,21.48,21.48,-47.50,0.08,-49.33,0.08
001585048,20.51,20.51,-44.45,0.12,-42.02,0.14
001585059,20.51,21.48,-45.67,0.10,-47.50,0.08
001585070,20.51,21.48,-47.50,0.08,-48.72,0.08
001585081,20.51,20.51,-43.84,0.13,-42.02,0.13
001585092,20.51,22.46,-46.28,0.09,-48.11,0.08
001585103,21.48,21.48,-47.50,0.08,-49.33,0.07
001585114,20.51,21.48,-43.84,0.12,-42.02,0.13
001585125,20.51,21.48,-46.28,0.09,-49.33,0.07
001585136,20.51,21.48,-46.89,0.08,-48.11,0.09
001585147,20.51,21.48,-44.45,0.12,-42.02,0.14
001585158,20.51,20.51,-46.89,0.08,-49.93,0.06
001585169,20.51,21.48,-46.89,0.09,-48.11,0.09
001585180,20.51,20.51,-43.84,0.13,-42.02,0.13
001585191,21.48,20.51,-46.89,0.08,-49.33,0.07
001585202,20.51,20.51,-45.67,0.10,-45.06,0.11
001585213,20.51,20.51,-43.84,0.12,-42.02,0.13
001585224,20.51,21.48,-46.89,0.08,-49.33,0.06
001585235,20.51,20.51,-46.28,0.09,-46.89,0.10
001585246,21.48,21.48,-43.84,0.12,-43.24,0.12
001585257,20.51,20.51,-47.50,0.07,-50.54,0.06
001585268,20.51,20.51,-46.28,0.10,-46.28,0.10
001585280,20.51,20.51,-43.84,0.12,-42.63,0.13
001585291,20.51,20.51,-47.50,0.08,-50.54,0.06
001585302,22.46,20.51,-46.89,0.09,-47.50,0.09
001585313,20.51,20.51,-43.84,0.13,-42.02,0.13
001585324,20.51,20.51,-46.89,0.08,-49.93,0.06
001585335,20.51,20.51,-45.67,0.10,-45.67,0.11
001585346,20.51,20.51,-43.84,0.12,-43.24,0.12
001585357,20.51,21.48,-46.89,0.08,-50.54,0.06
001585368,20.51,21.48,-45.67,0.11,-43.84,0.13
001585379,20.51,20.51,-44.45,0.12,-43.24,0.12
001585390,20.51,20.51,-47.50,0.07,-50.54,0.06
001585401,20.51,20.51,-45.67,0.10,-45.06,0.11
001585412,20.51,21.48,-44.45,0.12,-44.45,0.11
001585423,20.51,21.48,-47.50,0.07,-51.15,0.05
001585434,20.51,20.51,-45.67,0.10,-44.45,0.12
