Time (ms),P1(psi),P2(psi),P3(psi),P4(psi),T1,T2

180.387,-48.72,0.09,-48.11,0.08,0,0
180.398,-48.72,0.08,-49.33,0.07,0,0
180.409,-45.67,0.10,-46.28,0.10,0,0
180.420,-48.72,0.08,-48.72,0.08,0,0
180.431,-49.93,0.07,-49.93,0.07,0,0
180.442,-45.06,0.11,-45.06,0.11,0,0
180.453,-48.72,0.08,-48.11,0.09,0,0
180.464,-49.33,0.07,-49.33,0.07,0,0
180.475,-45.67,0.10,-46.28,0.10,0,0
180.486,-49.33,0.08,-48.72,0.08,0,0
180.497,-48.72,0.08,-48.72,0.08,0,0
180.508,-45.67,0.10,-45.67,0.10,0,0
180.519,-48.11,0.08,-48.11,0.08,0,0
180.530,-47.50,0.09,-47.50,0.08,0,0
180.541,-45.06,0.10,-45.67,0.11,0,0
180.552,-49.33,0.07,-48.72,0.08,0,0
180.563,-48.11,0.08,-48.72,0.08,0,0
180.574,-45.06,0.11,-45.67,0.10,0,0
180.585,-49.33,0.07,-48.72,0.08,0,0
180.596,-47.50,0.09,-47.50,0.09,0,0
180.608,-45.06,0.11,-45.06,0.11,0,0
180.619,-49.33,0.07,-48.72,0.08,0,0
180.630,-48.11,0.08,-48.72,0.08,0,0
180.641,-45.67,0.10,-45.67,0.10,0,0
180.652,-49.33,0.08,-49.33,0.08,0,0
180.663,-46.89,0.09,-47.50,0.09,0,0
180.674,-45.67,0.10,-45.67,0.10,0,0
180.685,-49.33,0.07,-49.33,0.07,0,0
180.696,-46.28,0.10,-46.28,0.09,0,0
180.707,-45.67,0.10,-45.67,0.10,0,0
180.718,-49.33,0.07,-49.33,0.07,0,0
180.729,-47.50,0.08,-48.11,0.08,0,0
180.740,-46.28,0.10,-46.28,0.10,0,0
180.751,-49.33,0.07,-49.33,0.07,0,0
180.762,-46.28,0.09,-46.89,0.09,0,0
180.773,-46.89,0.09,-46.89,0.09,0,0
180.784,-49.33,0.08,-49.33,0.07,0,0
180.795,-46.89,0.09,-47.50,0.09,0,0
180.806,-46.89,0.09,-46.89,0.09,0,0
180.817,-49.93,0.07,-49.93,0.07,0,0
180.828,-45.67,0.10,-46.28,0.10,0,0
180.839,-46.89,0.09,-46.89,0.09,0,0
180.850,-49.93,0.07,-49.93,0.07,0,0
180.861,-46.28,0.09,-46.89,0.09,0,0
180.872,-46.89,0.09,-46.89,0.09,0,0
180.883,-49.93,0.07,-49.33,0.08,0,0
180.894,-46.28,0.10,-46.28,0.09,0,0
180.905,-47.50,0.09,-47.50,0.09,0,0
180.916,-49.33,0.07,-49.33,0.07,0,0
180.927,-45.67,0.09,-46.28,0.10,0,0
180.938,-47.50,0.09,-48.11,0.08,0,0
180.950,-49.93,0.07,-49.93,0.07,0,0
180.961,-46.28,0.10,-46.28,0.10,0,0
180.972,-47.50,0.09,-47.50,0.09,0,0
180.983,-50.54,0.06,-49.93,0.07,0,0
180.994,-44.45,0.11,-45.06,0.11,0,0
181.005,-47.50,0.09,-47.50,0.09,0,0
181.016,-49.33,0.07,-49.33,0.07,0,0
181.027,-45.06,0.10,-45.67,0.10,0,0
181.038,-47.50,0.09,-47.50,0.09,0,0
181.049,-48.72,0.08,-48.72,0.07,0,0
181.060,-45.06,0.11,-45.06,0.11,0,0
181.071,-48.11,0.08,-48.11,0.08,0,0
181.082,-48.72,0.08,-48.72,0.08,0,0
181.093,-45.06,0.11,-45.06,0.10,0,0
181.104,-48.11,0.08,-48.11,0.08,0,0
181.115,-49.33,0.07,-49.33,0.07,0,0
181.126,-45.06,0.11,-45.06,0.11,0,0
181.137,-48.72,0.08,-48.72,0.08,0,0
181.148,-49.33,0.07,-49.33,0.08,0,0
181.159,-45.67,0.10,-46.28,0.10,0,0
181.170,-48.72,0.07,-48.72,0.08,0,0
181.181,-48.72,0.08,-48.72,0.08,0,0
181.192,-45.67,0.10,-46.28,0.10,0,0
181.203,-48.72,0.08,-49.33,0.08,0,0
181.214,-47.50,0.09,-47.50,0.08,0,0
181.225,-45.67,0.10,-45.67,0.10,0,0
181.236,-49.33,0.07,-49.33,0.07,0,0
181.248,-48.72,0.08,-48.11,0.08,0,0
181.259,-45.67,0.10,-45.67,0.10,0,0
181.270,-49.33,0.07,-49.33,0.07,0,0
181.281,-48.72,0.08,-48.72,0.08,0,0
181.292,-44.45,0.11,-45.06,0.11,0,0
181.303,-48.72,0.08,-48.72,0.08,0,0
181.314,-48.11,0.08,-48.11,0.08,0,0
181.325,-45.67,0.10,-45.67,0.10,0,0
181.336,-48.72,0.08,-49.33,0.07,0,0
181.347,-46.89,0.09,-46.89,0.09,0,0
181.358,-45.67,0.10,-46.28,0.10,0,0
181.369,-49.33,0.07,-49.93,0.07,0,0
181.380,-46.28,0.10,-46.89,0.09,0,0
181.391,-45.67,0.10,-45.67,0.10,0,0
181.402,-49.93,0.07,-49.33,0.07,0,0
181.413,-47.50,0.09,-47.50,0.08,0,0
181.424,-46.28,0.10,-46.28,0.10,0,0
181.435,-49.33,0.07,-49.93,0.07,0,0
181.446,-46.89,0.09,-46.89,0.09,0,0
181.457,-46.28,0.10,-46.28,0.10,0,0
181.468,-48.72,0.08,-49.33,0.07,0,0
181.479,-46.89,0.09,-46.89,0.10,0,0
181.490,-46.28,0.10,-46.28,0.10,0,0
181.501,-49.93,0.07,-49.93,0.07,0,0
181.512,-45.67,0.10,-46.28,0.10,0,0
181.523,-46.28,0.10,-46.89,0.10,0,0
181.534,-49.93,0.07,-49.93,0.07,0,0
181.545,-46.28,0.09,-47.50,0.09,0,0
181.556,-46.89,0.09,-46.89,0.09,0,0
181.567,-49.33,0.07,-49.33,0.07,0,0
181.578,-46.89,0.10,-46.28,0.10,0,0
181.590,-47.50,0.09,-47.50,0.09,0,0
181.601,-49.93,0.07,-49.93,0.07,0,0
181.612,-46.89,0.09,-46.89,0.10,0,0
181.623,-46.89,0.09,-47.50,0.09,0,0
181.634,-48.72,0.08,-48.72,0.08,0,0
181.645,-45.67,0.10,-45.67,0.10,0,0
181.656,-46.89,0.09,-47.50,0.09,0,0
181.667,-49.33,0.07,-49.33,0.07,0,0
181.678,-45.06,0.11,-45.06,0.10,0,0
181.689,-47.50,0.09,-47.50,0.09,0,0
181.700,-48.72,0.08,-49.33,0.07,0,0
181.711,-45.67,0.10,-46.28,0.10,0,0
181.722,-48.11,0.08,-48.72,0.08,0,0
181.733,-49.33,0.07,-49.93,0.07,0,0
181.744,-46.28,0.10,-46.28,0.10,0,0
181.755,-48.72,0.08,-48.72,0.08,0,0
181.766,-48.11,0.08,-48.11,0.08,0,0
181.777,-45.67,0.10,-46.28,0.10,0,0
181.788,-48.72,0.08,-48.72,0.08,0,0
181.799,-49.33,0.07,-49.93,0.07,0,0
181.810,-45.67,0.10,-45.67,0.10,0,0
181.821,-48.72,0.08,-49.33,0.08,0,0
181.832,-48.11,0.08,-48.72,0.08,0,0
181.843,-45.67,0.11,-45.67,0.10,0,0
181.854,-48.72,0.08,-48.72,0.08,0,0
181.865,-47.50,0.09,-47.50,0.08,0,0
181.876,-46.28,0.10,-45.67,0.11,0,0
181.888,-49.33,0.07,-49.33,0.07,0,0
181.899,-48.72,0.08,-48.72,0.07,0,0
181.910,-46.89,0.10,-46.28,0.10,0,0
181.921,-49.33,0.07,-49.33,0.07,0,0
181.932,-47.50,0.09,-47.50,0.08,0,0
181.943,-46.28,0.10,-45.67,0.11,0,0
181.954,-49.33,0.07,-49.33,0.08,0,0
181.965,-48.11,0.08,-48.72,0.08,0,0
181.976,-45.67,0.10,-46.28,0.11,0,0
181.987,-49.33,0.07,-49.33,0.07,0,0
181.998,-47.50,0.09,-48.11,0.08,0,0
182.009,-46.89,0.10,-46.28,0.10,0,0
182.020,-48.72,0.08,-48.72,0.07,0,0
182.031,-46.89,0.09,-47.50,0.09,0,0
182.042,-46.28,0.10,-46.89,0.10,0,0
182.053,-49.33,0.07,-49.93,0.07,0,0
182.064,-45.67,0.10,-46.28,0.10,0,0
182.075,-46.89,0.10,-46.28,0.10,0,0
182.086,-49.33,0.07,-49.33,0.07,0,0
182.097,-46.89,0.09,-47.50,0.09,0,0
182.108,-46.89,0.09,-46.89,0.10,0,0
182.119,-49.93,0.07,-49.33,0.07,0,0
182.130,-46.89,0.09,-47.50,0.09,0,0
182.141,-46.89,0.09,-47.50,0.09,0,0
182.152,-49.33,0.07,-49.33,0.07,0,0
182.163,-45.67,0.10,-46.28,0.10,0,0
