Time (ms),P1(psi),P2(psi),P3(psi),P4(psi),T1,T2
182.174,-46.89,0.09,-46.28,0.10,0,0
182.185,-49.33,0.07,-49.33,0.07,0,0
182.196,-45.06,0.11,-45.06,0.10,0,0
182.207,-47.50,0.09,-46.89,0.10,0,0
182.218,-49.33,0.07,-49.93,0.07,0,0
182.230,-45.67,0.10,-46.28,0.10,0,0
182.241,-47.50,0.09,-46.89,0.10,0,0
182.252,-49.93,0.07,-49.93,0.07,0,0
182.263,-46.89,0.09,-47.50,0.09,0,0
182.274,-47.50,0.09,-47.50,0.09,0,0
182.285,-49.33,0.07,-49.93,0.07,0,0
?182.296,-45.67,0.10,-46.28,0.10,0,0
182.307,-46.89,0.09,-47.50,0.08,0,0
